Data As Of,Gender,Age Group,COVID-19 Deaths,Total Deaths (Any Cause),Pneumonia Deaths,Pneumonia & COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
4/14/2021,All Sexes,All Ages,545751,4223421,472364,266296,9047,759617
4/14/2021,All Sexes,Under 1 year,61,23030,251,10,21,323
4/14/2021,All Sexes,0-17 years,258,40330,677,48,179,1066
4/14/2021,All Sexes,1-4 years,31,4133,137,5,61,224
4/14/2021,All Sexes,5-14 years,92,6691,197,19,76,346
4/14/2021,All Sexes,15-24 years,817,43343,949,326,81,1516
4/14/2021,All Sexes,18-29 years,2030,76623,2219,900,150,3487
4/14/2021,All Sexes,25-34 years,3602,89683,3544,1642,237,5723
4/14/2021,All Sexes,30-39 years,5880,109183,5351,2698,318,8829
4/14/2021,All Sexes,35-44 years,9403,129093,8335,4437,358,13623
4/14/2021,All Sexes,40-49 years,15952,164397,13574,7839,494,22112
4/14/2021,All Sexes,45-54 years,26239,237529,22709,13406,781,36206
4/14/2021,All Sexes,50-64 years,82925,692801,75937,43981,2137,116691
4/14/2021,All Sexes,55-64 years,66800,549832,61636,35621,1663,94224
4/14/2021,All Sexes,65-74 years,120379,849042,109257,64430,1951,166842
4/14/2021,All Sexes,75-84 years,151310,1031641,133008,76819,1967,209195
4/14/2021,All Sexes,85 years and over,167017,1259404,132341,69581,1851,231395
4/14/2021,Male,All Ages,299280,2215174,264976,154019,4675,414143
4/14/2021,Male,Under 1 year,36,12718,149,6,10,189
4/14/2021,Male,0-17 years,148,23631,376,27,97,594
4/14/2021,Male,1-4 years,19,2351,65,3,38,119
4/14/2021,Male,5-14 years,51,3962,109,13,37,184
4/14/2021,Male,15-24 years,490,31946,570,192,38,902
4/14/2021,Male,18-29 years,1254,55960,1330,524,77,2128
4/14/2021,Male,25-34 years,2281,63210,2154,1009,116,3530
4/14/2021,Male,30-39 years,3818,73990,3294,1745,157,5509
4/14/2021,Male,35-44 years,6110,84437,5100,2870,188,8501
4/14/2021,Male,40-49 years,10461,104587,8378,5126,274,13938
4/14/2021,Male,45-54 years,17452,149175,14203,8923,456,23106
4/14/2021,Male,50-64 years,53384,428696,46687,28094,1235,72985
4/14/2021,Male,55-64 years,42626,339065,37715,22500,957,58623
4/14/2021,Male,65-74 years,73763,494545,66253,39972,1093,100930
4/14/2021,Male,75-84 years,85400,539732,76475,45093,990,117618
4/14/2021,Male,85 years and over,71052,494033,62183,33438,752,100441
4/14/2021,Female,All Ages,246471,2008247,207388,112277,4372,345474
4/14/2021,Female,Under 1 year,25,10312,102,4,11,134
4/14/2021,Female,0-17 years,110,16699,301,21,82,472
4/14/2021,Female,1-4 years,12,1782,72,2,23,105
4/14/2021,Female,5-14 years,41,2729,88,6,39,162
4/14/2021,Female,15-24 years,327,11397,379,134,43,614
4/14/2021,Female,18-29 years,776,20663,889,376,73,1359
4/14/2021,Female,25-34 years,1321,26473,1390,633,121,2193
4/14/2021,Female,30-39 years,2062,35193,2057,953,161,3320
4/14/2021,Female,35-44 years,3293,44656,3235,1567,170,5122
4/14/2021,Female,40-49 years,5491,59810,5196,2713,220,8174
4/14/2021,Female,45-54 years,8787,88354,8506,4483,325,13100
4/14/2021,Female,50-64 years,29541,264105,29250,15887,902,43706
4/14/2021,Female,55-64 years,24174,210767,23921,13121,706,35601
4/14/2021,Female,65-74 years,46616,354497,43004,24458,858,65912
4/14/2021,Female,75-84 years,65910,491909,56533,31726,977,91577
4/14/2021,Female,85 years and over,95965,765371,70158,36143,1099,130954
