Year,Arizona,California,"Nevada, New Mexico, and Utah",Other states,Total
1998,1474,719,72,6,2271
1999,1812,939,55,20,2826
2000,1917,840,67,41,2865
2001,2301,1538,63,30,3932
2002,3133,1727,63,32,4955
2003,2695,2091,55,19,4860
2004,3667,2641,110,44,6462
2005,3516,2885,108,43,6552
2006,5535,3131,140,118,8924
2007,4832,2991,163,149,8135
2008,4768,2597,99,69,7533
2009,10233,2488,147,75,12943
2010,11883,4622,159,129,16793
2011,16467,5697,237,240,22641
2012,12920,4431,211,240,17802
2013,5861,3272,162,143,9438
2014,5624,2243,156,209,8232
2015,7622,3053,198,199,11072
2016,6101,5358,151,219,11829
2017,6885,6925,279,275,14364
2018,7478,7546,276,311,15611
