Age,Serotype b Cases,Serotype b (Rate per 100K population),Serotype Non-b Cases,Serotype Non-b (Rate per 100K population),Serotype Non-Type Cases,Serotype Non-Type (Rate per 100K population),Serotype Unknown Cases,Serotype Unknown (Rate per 100K population)
< 1,2,0.39,17,3.29,27,5.23,6,1.16
1,0,0,8,1.51,8,1.52,0,0
4-Feb,0,0,9,0.55,8,0.49,2,0.12
17-May,0,0,8,0.11,14,0.19,1,0.01
18-34,0,0,10,0.1,57,0.54,10,0.1
35-49,2,0.02,15,0.17,58,0.66,8,0.09
50-64,3,0.03,57,0.65,127,1.45,15,0.17
65-74,2,0.05,43,1.05,109,2.66,17,0.41
75-84,1,0.05,26,1.32,123,6.23,10,0.51
85+,1,0.12,14,1.66,101,12.01,14,1.66
Total,11,0.02,207,0.46,632,1.41,83,0.19
