State,2011 (Cases),2011 (Rate per 100K population),2012 (Cases),2012 (Rate per 100K population),2013 (Cases),2013 (Rate per 100K population),2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population)
Alabama,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,5,6.84,2,2.71,2,2.71,0,0
Arizona,1,0.15,1,0.15,0,0,0,0,0,0
Arkansas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,1,0.03,0,0,2,0.05,2,0.05,0,0
Colorado,0,0,0,0,0,0,1,0.19,2,0.37
Connecticut,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0,0,0
Georgia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hawaii,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,1,0.6
Illinois,0,0,1,0.08,9,0.7,0,0,0,0
Indiana,1,0.15,0,0,0,0,1,0.15,1,0.15
Iowa,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0,0,0
Kentucky,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0
Louisiana,1,0.22,0,0,0,0,0,0,0,0
Maine,1,0.75,0,0,0,0,0,0,0,0
Maryland,0,0,1,0.17,3,0.51,0,0,2,0.33
Massachusetts,0,0,0,0,0,0,0,0,0,0
Michigan,0,0,1,0.1,0,0,0,0,0,0
Minnesota,2,0.37,1,0.19,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,1,0.54,1,0.53,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0
New Jersey,1,0.11,2,0.23,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0,0,0
New York**,1,0.05,0,0,1,0.05,0,0,0,0
North Carolina,0,0,0,0,1,0.1,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0
Ohio,1,0.09,0,0,0,0,1,0.09,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,0,0,0,0,0,1,0.08
Rhode Island,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0
Texas,2,0.08,1,0.04,0,0,2,0.07,4,0.15
Utah,0,0,0,0,0,0,1,0.34,1,0.33
Vermont,0,0,0,0,0,0,0,0,0,0
Virginia,2,0.25,2,0.24,2,0.24,1,0.12,0,0
Washington,0,0,0,0,0,0,2,0.28,1,0.14
West Virginia,1,0.54,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0
